,model,semantic_error_count,predicted_text,ground_truth
136214,gemini-portkey_results,10,"'r' ambiguity. The letter after the first 'a' goes down to the baseline and comes up with a sharp turn, which is characteristic of a 'v'. If it were an","Bavaria , asked me if I would do something for two wards"
138742,gemini-portkey_results,10,"` - looks like an `a` but in fast cursive `ot` connections often look like `at`.
`t` - clearly a t.
`h` - clearly an",She plays the possessive mother of a man whose hobby revolves
137903,gemini-portkey_results,9,"' 'e'. The thing before 'e' is weird. It looks like 'r'. ""attractre""? No. Maybe it's not English? No, the rest is.","attractive - interest ! Tiredness has , therefore , as much to do"
134832,gemini-portkey_results,8,"looks like a 'j' or 'y' but fits 'g' in context. The 't' is crossed. 'l' is tall. 'y' descends. Okay.
    *","the river . The film starts off brightly enough but ,"
138601,gemini-portkey_results,8,""" part of ""myself."" - very distinct dot. After ""laughed"" - there is a dot, and it seems to have a tiny smudge or tail. Let's go with comma.","I 'd marry you myself . "" Gay laughed , Doc was"
137097,gemini-portkey_results,8,""" (part of 'g'?)
        - Crop 8: ""for""
        - Crop 9: ""advice.""
        - Crop 10: ""In""","at Ko""then , near Leipzig , asking for advice . In doing so he"
135074,gemini-portkey_results,8,""", ""i"", ""c"", ""c"", ""u"", ""p"". The ""h"" is clear. ""i"" has a dot. ""c"", ""c"". """,clear hiccup and falls flat on its back . This
137220,gemini-portkey_results,8,") - b (loop up) - l (loop up) - e (loop). Let's count the downward strokes after the 'i': 1, 2,","incredibly ancient car , surrounded by innumerable friends and relatives ."
140709,gemini-portkey_results,8,"' in the prompt. I shouldn't rely on the prompt's artifacts. Let's look at the image again. The word is ""Sir"". The 'S'",""" Good luck , Air Marshal , "" she said gently . "" I 'll"
131951,gemini-portkey_results,8,") `m` (3 humps) `i` (short) `t` (tall, crossed) `a` (round, closed) `t` (tall, crossed) `e","a "" limited state of emergency "" was declared , giving"
133574,gemini-portkey_results,8,"""if"" - Clear.
    *   ""their"" - Look at the first letter. It's a tall vertical line crossed horizontally. It's a lowercase 't",that freedom last if their policies were adopted ?
136113,gemini-portkey_results,7,"stroke up and down).
        *   `n`: two humps.
        *   `c`: simple curve.
        *   `u`: two points up.
        *",the incumbent of the highest church in the
109653,chatgpt-gpt4o_results,7,I don't know if. He's a Soul as easy to pass as excited,I doubt it . He 's about as easy to push around
133792,gemini-portkey_results,7,"(cursive 'n')
        *   `g` (cursive 'g')
        *   `e` (cursive 'e')
        *   `l` (cursive 'l","Angel . "" I don't know why I was so"
131716,gemini-portkey_results,7,"'.
        *   Fourth letter: 'k' or 'h'?
        *   Let's compare ""background"" vs ""husband"".
        *   If it's """,""" My background is a doctor of 68 , who"
133548,gemini-portkey_results,7,"- lowercase.
        *   ""s"" - lowercase.
        *   ""i"" - lowercase.
        *   ""t"" - lowercase.
        *   """,If the Government now reverses its plan to give the
138595,gemini-portkey_results,7,"gently` - lowercase g.
    *   `mocked` - lowercase m.
    *   `her,` - lowercase h. Comma.
    *   `","like Alice in Wonderland , "" Doc gently mocked her , "" and"
137801,gemini-portkey_results,7,"-[r/n]-i-a-l. Actually, e-d-i-t-i-o-n-a-l. The dot is over the second 'i'",is a matter of editorial decision rather
137448,gemini-portkey_results,7,"Yes, well... ""` -> the first mark is weird. I'll just omit it if it's too ambiguous, but it looks like a quote. Let's just write",""" Yes , well ... . "" He judged that she had been sufficiently"
132792,gemini-portkey_results,7,` - This looks like an opening double quote written quickly as two little ticks or one messy tick. It looks like `u`. Let's assume it's an opening quote based on context.,"brought a bark of "" Start another war ! """
136146,gemini-portkey_results,6,"s` (Capital T [cursive style], a, y, l, o, r, apostrophe, s) -> The T in Taylor is a bit unusual, might just be",Then we went to work on Coleridge Taylor's ' Hiawatha's
139530,gemini-portkey_results,6,": cursive r shape
        *   b: tall stem with bottom loop
        *   e: standard loop
        *   r: cursive r shape
        *   a: closed loop with","immersion in gloom , and the clash of reverberated"
139119,gemini-portkey_results,6,""". I'll just write it as lowercase as it's a mid-sentence word and the shape is more akin to lowercase cursive.

Final decision: ""do for the world",do for the world Using my hand .
138299,gemini-portkey_results,6,"Let's look at it again carefully. The 'n' has two humps. Then there is an 's' attached. Yes. ""Broughtons"".
        *","office . "" And what did it look like , Broughtons ? Some"
136601,gemini-portkey_results,6,"' 'h' 'e'. I will stick with ""the"".
    *   Wait, let me look at the crop 3 and 4. The word is ""the"".","of Radicalism , & then God knows what may happen ... ."
137445,gemini-portkey_results,6,"s'. The 'a' in 'gave' is closed. The letter after 'c' is open. It looks more like an 'o' whose loop didn't close, or","dazzled and gave a long raucous cough . "" Only"
139165,gemini-portkey_results,6,"Let's look at ""cure"". `c` `u` `r` `e`. It fits the strokes well. `c` (small curve), `u` (","so we are unable to cure our own minds ,"
133615,gemini-portkey_results,6,"' curl. It looks like an 'x' actually in some cursive styles, but 'banx' is nonsense. It's a 'k' where the top loop of the 'k' is",the bank is made of boys and girls aged 15
107909,chatgpt-gpt4o_results,6,a mothu has never sole ol night thol his,a mother has news late at night that her
108388,chatgpt-gpt4o_results,6,the Roman wars thus impart our rile of later history,the Roman wars thus impale on pike or lance his
109252,chatgpt-gpt4o_results,6,"""he made, now, he did, ""ha! ha!"" he hollered, ""leap on your bicycle""","the mask , now , Ifor did . "" Dai Pugh , "" he bellowed . "" Leap on your bicycle"
133079,gemini-portkey_results,6,53`. Let's assume it's meant to be `1953` and the writer made a mistake and corrected it inline or just made a stray mark. Let me look at the,"East German disturbances on July 17 , 1953 . And officials"
108882,chatgpt-gpt4o_results,6,It is easy for persons to get on wonderfully well,to those of parsons he got on wonderfully well
132624,gemini-portkey_results,6,". No, W-a-t-k-i-n-s. The last letter looks like an 's'. Let me look again. ""Watkin"". Maybe just ""Watkin"".",no truth in suggestions that Mr. Watkinson
134032,gemini-portkey_results,6,"`p` `e` `a` `c` `e` -> peace
        *   (space) ->
        *   `a` `n` `d",peace and progress . WHEN all the
138965,gemini-portkey_results,6,"', then 'e'. 'lye'? No. 'dye'? The vertical line doesn't go below the baseline.
Let's assume it's ""we"".
Let's","the problem of life cannot be solved . "" Therefore shall 1ye lay"
139900,gemini-portkey_results,6,"(connecting stroke)
        *   `a` (round body, stroke down)
        *   `n` (hump)
        *   `t` (t","plate and mail of French knights , a brilliant"
104586,chatgpt-gpt4o_results,6,ah you our leader. You all the be,and your own teacher . You will then be
102145,chatgpt-gpt4o_results,6,that this is mostly included as a preface,that this # meeting will lead on to further
101485,chatgpt-gpt4o_results,6,I don't have the ability to transcribe handwritten text from the image.,of both their chief figures . Dr. Verwoerd and
140763,gemini-portkey_results,6,"'b'
        *    'r'
        *    'i'
        *    'd'
        *    'g' - yes,",him at the temporary bridge over the
104396,chatgpt-gpt4o_results,6,written decided are gauged even as literally wrote either,witness described one sprayed area as literally rank with
137095,gemini-portkey_results,5,"'ti' connection... it's a loop up for 't', then down for 'i'. It's ""patient"".
- ""and"": a-n-d. Looks good",described his distinguished patient and his symptoms . He told
107636,chatgpt-gpt4o_results,5,the lord king heda of herlo bob h having,the rock . King Mesha of Moab boasts of their
88506,chandra_results,5,"the mark, now, for did,"" said Hugh, he followed, ""Leap on your bicycle","the mask , now , Ifor did . "" Dai Pugh , "" he bellowed . "" Leap on your bicycle"
108898,chatgpt-gpt4o_results,5,he was a real nowhere man sitting in his B. I. P.,he was a keen member of the B.S.P. .
106578,chatgpt-gpt4o_results,5,"in 6eh. 2,8 and 1. of fol. 4,13.",in Neh. 2.8 and S. of Sol. 4.13 .
106066,chatgpt-gpt4o_results,5,"of hoising, we rousily trrust o","of twisting , he roughly thrust a"
107985,chatgpt-gpt4o_results,5,"My dear, good John works quietly through them.","be done and then work quietly through them ,"
102126,chatgpt-gpt4o_results,5,Don't sit down without is necessary - Read,but it says what is necessary - that
133277,gemini-portkey_results,5,"m
    strokea
    strokei (dotted)
    stroketall loop (h?)
    stroketall line (t) crossed with 'a",maintained an unflinching witness to what
93274,claude-vision_results,5,Donald Hourton hed a big ruces on at JV's,DONALD HOUSTON had a big success on A T V's
141589,gemini-portkey_results,5,"N-o-w`: Very clear.
    *   `t-h-e-r-e`: The 't' is tall, almost looks like an 'H' or an",nation . Now there was no-
140114,gemini-portkey_results,5,"`c`?, `t` (tall line), `i` (dotted), `o`, `n`, `s`. -> `convictions`.
    *   Fifth word: `",courage of their convictions and their
139586,gemini-portkey_results,5,loug brown nair in a bun at tne back of ner nead,long brown hair in a bun at the back of her head
101623,chatgpt-gpt4o_results,5,There for he unclear he’s in her,France for her nuclear tests in the
101640,chatgpt-gpt4o_results,5,"I don't have information on specific text shown in images, including handwritten text.",A personal letter of protest against the
101425,chatgpt-gpt4o_results,5,was agreed that the peak was clear reached,not agree that the point has been reached
101567,chatgpt-gpt4o_results,5,altitude realities calm prompt noon key,attitude of studied calm brought down the
10237,Qwen3-VL-8B-Instruct_results,5,"them out. ""He's the carol my lace, isn't he?""","them out . "" He 's the carrotty lad , isn't he ? """
8350,Qwen3-VL-8B-Instruct_results,5,The Roman war thus impah on pile of lanq his,the Roman wars thus impale on pike or lance his
141208,gemini-portkey_results,5,"d`. Wait, no. `h e ' s`. Let me look at the mark between 'e' and 's'. It looks like a stray mark, an apostrophe. Yes, `","Dan ? "" "" Know what ? "" "" That he 's dead , """
9641,Qwen3-VL-8B-Instruct_results,5,"to all kind of boats, wid dose bij, bij","to all kin' o' boats , wid d'ose big , big"
134373,gemini-portkey_results,5,"`. No.
    *   Let's transcribe it without overthinking the ambiguous marks if they are just scribbles, but they look deliberate. `""` and `-`.
    *","to the memory of "" - are seen as an"
135207,gemini-portkey_results,5,"', 's', 'o', 'n', 'a', 'l' -> ""personal"". The 'r' is a little indistinct, but the word is clearly ""personal"".",and lovely touch to personal possessions -
6366,Qwen3-VL-8B-Instruct_results,5,"love moun, He need grandmothers or He","love house , the mad grandmother or the"
134292,gemini-portkey_results,5,"""? No, the 'd' finishes with a little tail, no 's'. So it's ""background, which bring..."". Maybe it's referring to something plural before this snippet. Either","background , which bring the film so vividly to life ."
132677,gemini-portkey_results,5,"` -> ""leader"". Very clear.
        *   Word 3: `o-f` -> ""of"". Very clear.
        *   Word 4:","the Leader of the Opposition , Sir de"
110408,chatgpt-gpt4o_results,5,"clients eyes, he dealt in false security, of","client's eyes , the dust of fake security , of"
131295,gemini-portkey_results,5,"ns"" Yester` -> The punctuation mark is clearly `""` or `''`. It's a double quote closing.
        *   Crop 5: `sterday S`","to be demonstrations . "" Yesterday Sir Roy's"
108664,chatgpt-gpt4o_results,5,because we are using rote words.,became mere marauding route marches .
131581,gemini-portkey_results,5,"..."" maybe? It's too cut off.
Bottom line fragment: ""...r..."" maybe? Too cut off.
I will focus on the fully visible line.
""problem with Dr","problem with Dr. Brentano , the West"
134039,gemini-portkey_results,5,". ""15-"". The word ""years"" is standalone. Then ""-olds"". Okay, I'll transcribe it as ""15- years -olds"" if I want to be perfectly literal",most of the hopeful 15-year-olds leaving school
132901,gemini-portkey_results,5,"(closing double quote)
        *   (space)
        *   `i` `n` `t` `e` `r` `f` `e` `r`","and "" unwarranted "" interference . "" But it"
132334,gemini-portkey_results,5,"Let me re-evaluate ""therefore"". ""t"", ""h"", ""e"", ""r"", ""e"", ""f"", ""o"", ""r"", ""e"". The",for it - and therefore of any budget
109655,chatgpt-gpt4o_results,5,"of Hal, but went on civilly, “I'd been made","at that , but went on airily , "" I 'd have made"
136282,gemini-portkey_results,4,"] is arrived ..."". This doesn't make grammatical sense if the vertical line is nothing. What if the word before ""wrote"" ends in ""I""? ""I wrote, '..."".","wrote , ' is arrived , which is a great resource . Vesuvius"
4544,Qwen3-VL-8B-Instruct_results,4,"you our philosopher, you our psychologist","your own philosopher , your own psychologist"
4548,Qwen3-VL-8B-Instruct_results,4,ad yous our teacher. You will the be,and your own teacher . You will then be
7598,Qwen3-VL-8B-Instruct_results,4,sto boch. King Herba of Hado boats of Spain,the rock . King Mesha of Moab boasts of their
139558,gemini-portkey_results,4,"` `w` `a` `l` `k` `e` `d`. The 'k' is just a vertical line down, then back up and into a curve. Okay,",had walked deliberately into the blackness and
4357,Qwen3-VL-8B-Instruct_results,4,of DPT and fuel oil over 3million acres a she,of DDT and fuel oil over 3 million acres or when
4538,Qwen3-VL-8B-Instruct_results,4,ash question address the Cochs to,ask questions and uses the books to
6173,Qwen3-VL-8B-Instruct_results,4,"they're not - money - lenders?"" Mrs. - er - Buttery,","they 're not - money-lenders ? "" "" Mrs. - er - Buttery ,"
139012,gemini-portkey_results,4,represeuts ; (3) Dieppiug- iu reereseuts,represents Remez ; ( 3 ) Dipping-in represents
139282,gemini-portkey_results,4,""". Wait, ""Rabbi""? No dot. ""Rabb""? The last letter is tall. Let me search for ""Rami bar Rabh"". It's a plausible name. Let me",the comment of Rami bar Rabh is quoted
138566,gemini-portkey_results,4,I ain't edicated in shootin! It'd be an,2ain't 2eddicated in shootin' . It 'd be a
141262,gemini-portkey_results,4,"`t h e` -> the
    *   `u n s e e n` -> unseen. The 'u' might be a 'v'? No, 'unseen' is a real",""" Oh , "" said the unseen guard . He blew a"
141324,gemini-portkey_results,4,"`. No, it's `remembering`. Let me look at the loops. `r` - `e` - three humps for `m` - loop for `e` - three hum","only , yet remembering for a second the"
137303,gemini-portkey_results,4,""". No, it's definitely an 's'. Look at the 'g' in 'eager'. It has a full loop. This letter is just a squggle.","eager hand inside , his fingers"
137814,gemini-portkey_results,4,in Sch. 2. P and 1. of Sol. 4. 13.,in Neh. 2.8 and S. of Sol. 4.13 .
140978,gemini-portkey_results,4,"), `e` (loop).
        *   Actually, let's look at the word again. It starts with 'l' or 't'. Then 'e' or '",drag the boat ashore and turn
135639,gemini-portkey_results,4,pest coutrol by biological meaus. Both uatire aud,pest control by biological means . Both native and
80909,chandra_results,4,labeled M. P. s and hangued men,lobbied M.P.s and harangued them
80886,chandra_results,4,about solicitor General and Mr. Beaubour,"Labour Solicitor-General , and Mrs. Barbara"
110402,chatgpt-gpt4o_results,4,purpose from the Knowing of Descartes in 165,purpose than the throwing of dust in his
118375,chatgpt5_results,4,The housewife would find this for her living,The housewife would find life far less tiring
118065,chatgpt5_results,4,a deep impressioy oy our feelings ayd seyses.,a deep impression on our feelings and senses .
10364,Qwen3-VL-8B-Instruct_results,4, purpose then the knowing of death in her,purpose than the throwing of dust in his
10173,Qwen3-VL-8B-Instruct_results,4,and in live pool they'd wat sea-fares.,and in Liverpool they 'd want sea-farers .
9949,Qwen3-VL-8B-Instruct_results,4,SoT taller as the day wore on and he rooked,got hotter as the day wore on and we rested
131938,gemini-portkey_results,4,"p-r-e-m-e (space)
    *   l-a-w-''-) (space)
    *   r-e-p","of the people is the supreme law "" ) reports : "" The"
134351,gemini-portkey_results,4,"However, ""In A Taste af Honey"" is highly unlikely. Let's look at it again. Is it possible it's just a sloppy 'o'? Yes. The connection goes from the *",In A Taste of Honey Mr. Richardson has taken a
132882,gemini-portkey_results,4,"' part is a bit weird but 's' is clear, 'p' is clear, 'e' is clear, 'c' is clear, 'u' is clear, 'l'",quick in-and-out speculator deals .
132753,gemini-portkey_results,4,"'. Then 'e' - wait, there is no 'e'. It's `a` `n` `i` `n` `g`. So `...can",recalling Parliament or ordering mobilisation
133429,gemini-portkey_results,4,"), 'r' (flat top), 'n' (2 humps), 'i' (spike), 'n' (2 humps), 'g' (circle with tail below line).","troubles , mourning a terrible air crash ,"
79569,chandra_results,4,"Sanderson Sender - William Roberts, of","Southern Senator - Willis Robertson , of"
108881,chatgpt-gpt4o_results,4,"Socialism. Evil seed men, who seat it","socialism . With such men , who had the"
86614,chandra_results,4,I'm glad you're beginning to see that you're waking,I 'm glad you 're beginning to see that you 're wasting
86604,chandra_results,4,"and Jay's heat burned over. ""I'd like","and Gay's heart turned over . "" I 'd like"
85832,chandra_results,4,in det. 2.8 and 1. of vol. 4. 13.,in Neh. 2.8 and S. of Sol. 4.13 .
108222,chatgpt-gpt4o_results,4,Ihn thy stop swimming and ou cough. In,Then they stop swimming and are caught . In
109237,chatgpt-gpt4o_results,4,hears that Mofyah was hearing him as surely as she was hearing them all,heart that Morfydd was leaving him as surely as she was leaving Dinas .
109241,chatgpt-gpt4o_results,4,"Denis Motor Innilsy lo, to ask what had happened ter Their",Dinas Motor Omnibus Co. to ask what had happened to their
109645,chatgpt-gpt4o_results,4,between god as savior and as judge,between what a senior and a junior
108984,chatgpt-gpt4o_results,4,one is lead and you red appeal,"over his head and yawned agape ,"
108985,chatgpt-gpt4o_results,4,He love thou lis break(cat-nook bench),He rose from his breakfast-nook bench
109767,chatgpt-gpt4o_results,4,"""said i, ""but I'd better stop using that now.","said ; "" but I 'd better stop thinking that now ."
109116,chatgpt-gpt4o_results,4,phere of the sun. I make which on Earth could hardly,sphere of the sun . A matter which on Earth would hardly
109678,chatgpt-gpt4o_results,4,could see 3amudm 3f'ing' he wen out in a,"could see 3anudder 3t'ing , "" he went on in a"
82745,chandra_results,4,"sensitively pushing, Mrs. Theda Allen her","insensitively pushing , Miss Sheila Allen his"
80740,chandra_results,4,"Viess Graatt, have been reduced mapped.","Villiers Graaff , have been returned unopposed ."
109722,chatgpt-gpt4o_results,4,the hills had one end at the,the tiller hard over and at the
109987,chatgpt-gpt4o_results,4,sit taller as the day wore on and he rocked,got hotter as the day wore on and we rested
109973,chatgpt-gpt4o_results,4,cowboy that lay all around gibber Crony,country that lay all round Gilburg Crossing .
110019,chatgpt-gpt4o_results,4,"humble them, loud and chill. the gun bored.","whistle then , loud and shrill . The gun barrel"
110016,chatgpt-gpt4o_results,4,"wavered. We put on horses, ready. Looking","wavered . We sat our horses , waiting . "" Looks as"
109654,chatgpt-gpt4o_results,4,an attempt to steal my lady - love feeling,an attempt to show my lady-love that I
109649,chatgpt-gpt4o_results,4,to the destination. That's a difference.,"able destination . "" "" There 's a difference"
110109,chatgpt-gpt4o_results,4,meet taking ourmedely to Sineone,corner talking animatedly to Simone .
110237,chatgpt-gpt4o_results,4,"OF  VARIETY   AND  IT'S  A  CHANCE  ""  MIKE  WAS  THE  HOSPITAL  'S","of variety and it 's a change . "" Nigel was the hospital's"
106069,chatgpt-gpt4o_results,4,graping alter woods of hive,groping after wads of five
106404,chatgpt-gpt4o_results,4,"love story, he need grandmother or her","love house , the mad grandmother or the"
107988,chatgpt-gpt4o_results,4,The end of the day will find her strong if,the end of the day with far less strain if
106283,chatgpt-gpt4o_results,4,"wa», bve, There was a true Provenc ¢? Sval, Kin ane","was true , Pierre was a true Provenc*?6al , thin and"
88507,chandra_results,4,"of humour, that Isaac. He laughed down the sewer. Very uncivil. Stopped","of humour , that Isaiah . He banged down the receiver . Very uncivil . Dropped"
107725,chatgpt-gpt4o_results,4,yield not uet \veiit auld liy perish quickly fean off the,yield not her fruit and lest 1ye perish quickly from off the
108896,chatgpt-gpt4o_results,4,"asy  Owin,  whe in 1911 Lino presented","Alf Barton , who in 1911 was presented"
107532,chatgpt-gpt4o_results,4,"co he loved him. Courteney played the part with a gawky,","C O believed him . Courtenay played the part with a gawky ,"
101614,chatgpt-gpt4o_results,4,Goals! performance written on the wind,Godber's performance merited all the mild
101580,chatgpt-gpt4o_results,4,The massive assault upon ideals is much,The trouble about such debates is that
101579,chatgpt-gpt4o_results,4,on the Congo. he knew Mr. Godeve way,"on the Congo . "" In turn , Mr. Godber was"
